route_id,route_short_name,route_long_name,bunching_events,avg_stop_gap
504,504,King,374410,0.549
506,506,Carlton,279540,0.536
52,52,Lawrence West,242472,0.477
939,939,Finch Express,234839,0.528
505,505,Dundas,201633,0.581
501,501,Queen,177969,0.584
510,510,Spadina,171898,0.550
927,927,Highway 27 Express,166738,0.425
63,63,Ossington,166583,0.453
54,54,Lawrence East,154623,0.506
35,35,Jane,145468,0.466
935,935,Jane Express,142830,0.507
53,53,Steeles East,133022,0.497
29,29,Dufferin,131590,0.521
102,102,Markham Rd,131055,0.481
25,25,Don Mills,126228,0.529
36,36,Finch West,123906,0.429
960,960,Steeles West Express,117856,0.478
511,511,Bathurst,117142,0.561
929,929,Dufferin Express,115635,0.609
84,84,Sheppard West,114915,0.486
503,503,Kingston Rd,112784,0.482
512,512,St Clair,111875,0.562
96,96,Wilson,111466,0.584
43,43,Kennedy,109531,0.481
996,996,Wilson Express,108792,0.575
39,39,Finch East,108137,0.521
86,86,Scarborough,106851,0.526
72,72,Pape,104361,0.544
165,165,Weston Rd North,97956,0.538
95,95,York Mills,95722,0.541
47,47,Lansdowne,93896,0.485
129,129,McCowan North,93235,0.575
507,507,Long Branch,90938,0.573
41,41,Keele,89303,0.503
116,116,Morningside,87832,0.541
24,24,Victoria Park,87643,0.566
900,900,Airport Express,86903,0.426
85,85,Sheppard East,83442,0.566
45,45,Kipling,80021,0.527
7,7,Bathurst,77002,0.492
100,100,Flemingdon Park,71296,0.530
133,133,Neilson,68310,0.574
37,37,Islington,66872,0.528
68,68,Warden,64501,0.444
904,904,Sheppard-Kennedy Express,64147,0.572
89,89,Weston,60985,0.560
509,509,Harbourfront,57098,0.584
925,925,Don Mills Express,56874,0.621
60,60,Steeles West,55646,0.544
34,34,Eglinton,51611,0.498
903,903,Kennedy Stn-Scarborough Express,51385,0.550
108,108,Driftwood,50839,0.524
44,44,Kipling South,50735,0.438
32,32,Eglinton West,49733,0.533
38,38,Highland Creek,49653,0.627
123,123,Sherway,47452,0.497
73,73,Royal York,44452,0.492
94,94,Wellesley,42925,0.415
905,905,Eglinton East Express,40410,0.497
300,300,Bloor-Danforth,39292,0.542
75,75,Sherbourne,36446,0.438
17,17,Birchmount,36347,0.519
952,952,Lawrence West Express,35920,0.552
42,42,Cummer,35801,0.523
27,27,Jane South,35742,0.575
110,110,Islington South,35206,0.612
76,76,Royal York South,34872,0.500
51,51,Leslie,34033,0.494
57,57,Midland,33803,0.469
97,97,Yonge,33524,0.449
12,12,Kingston Rd,32199,0.470
131,131,Nugget,31597,0.587
16,16,McCowan,31574,0.583
902,902,Markham Rd Express,29900,0.577
984,984,Sheppard West Express,29018,0.582
320,320,Yonge,28931,0.526
168,168,Symington,28766,0.539
114,114,Queens Quay East,28011,0.570
924,924,Victoria Park Express,27223,0.581
87,87,Cosburn,26336,0.621
995,995,York Mills Express,26219,0.527
40,40,Junction-Dundas West,26181,0.490
90,90,Vaughan,25818,0.528
986,986,Scarborough Express,24802,0.443
11,11,Bayview,23778,0.565
112,112,West Mall,23289,0.501
80,80,Queensway,22390,0.462
92,92,Woodbine South,20312,0.550
71,71,Runnymede,20102,0.589
906,906,Airport-Humber College Express,19299,0.437
954,954,Lawrence East Express,18279,0.574
66,66,Prince Edward,18144,0.558
46,46,Martin Grove,18025,0.476
65,65,Parliament,17455,0.601
111,111,East Mall,17094,0.582
88,88,South Leaside,16898,0.527
161,161,Rogers Rd,16796,0.591
953,953,Steeles East Express,16201,0.586
23,23,Dawes,16017,0.572
113,113,Danforth,14691,0.555
64,64,Main,14511,0.671
79,79,Scarlett Rd,13928,0.522
21,21,Brimley,13633,0.635
301,301,Queen,13491,0.609
158,158,Trethewey,13358,0.496
304,304,King,13241,0.611
20,20,Cliffside,12855,0.575
18,18,Caledonia,12414,0.597
22,22,Coxwell,12407,0.555
334,334,Eglinton,12112,0.512
149,149,Etobicoke-Bloor,11957,0.446
8,8,Broadview,11820,0.462
989,989,Weston Express,11711,0.565
122,122,Graydon Hall,11171,0.611
164,164,Castlefield,11027,0.463
104,104,Faywood,10836,0.495
117,117,Birchmount South,10772,0.424
67,67,Pharmacy,10771,0.559
306,306,Carlton,10631,0.566
74,74,Mount Pleasant,10524,0.562
134,134,Progress,10446,0.585
70,70,O'Connor,10301,0.655
185,185,Sheppard Central,10213,0.525
31,31,Greenwood,9559,0.659
9,9,Bellamy,9551,0.593
106,106,Sentinel,9443,0.567
135,135,Gerrard,9120,0.532
121,121,Esplanade-River,8785,0.531
61,61,Avenue Rd North,8701,0.599
985,985,Sheppard East Express,8699,0.609
151,151,Leslie North,8309,0.583
105,105,Dufferin North,8172,0.508
26,26,Dupont,7869,0.424
